BlockType,DescriptionType,SentencePosition,Phrase
NecroTechLab,inside,first,"The air is filled with a faint metallic tang, mixing with the acrid stench of chemicals."
NecroTechLab,inside,first,"The sterile walls are streaked with soot and age, their once-bright sheen dulled to a grim gray."
NecroTechLab,inside,first,"Dim emergency lights flicker, casting long shadows that seem to move on their own."
NecroTechLab,inside,first,"Broken glass and shattered equipment litter the ground, crunching softly underfoot."
NecroTechLab,inside,first,The air is thick with the acrid scent of chemicals and decay.
NecroTechLab,inside,first,"A faint hum of residual power resonates through the facility, a ghostly echo of its former function."
NecroTechLab,inside,second,"Rows of overturned lab tables lie scattered, their surfaces marred with deep scratches and burns."
NecroTechLab,inside,second,"A shattered terminal screen flickers weakly, displaying fragmented lines of code. "
NecroTechLab,inside,second,Spilled beakers and chemical stains tell stories of experiments long abandoned. 
NecroTechLab,inside,second,"Torn wires dangle from the ceiling, sparking occasionally in defiance of their obsolescence. "
NecroTechLab,inside,second,"Empty containment units line the walls, their shattered glass doors hinting at what once was held within. "
NecroTechLab,inside,second,Tables cluttered with shattered vials and rusted instruments hint at long-abandoned experiments.
NecroTechLab,inside,third,"The room feels alive with a malevolent energy, as if the remnants of old experiments are watching."
NecroTechLab,inside,third,"You feel a sense of unease, as though unseen eyes are watching your every move. "
NecroTechLab,inside,third,"A forgotten clipboard lies on the ground, its faded notes barely legible in the dim light. "
NecroTechLab,inside,third,"The sound of dripping water echoes through the silent halls, a rhythmic reminder of time's passage. "
NecroTechLab,inside,third,"Scorch marks on the floor suggest a violent incident, their patterns speaking of chaos and destruction. "
NecroTechLab,inside,third,"A solitary chair sits upright in the corner, its placement eerily deliberate among the disarray. "
NecroTechLab,outside,first,"The building’s metallic facade glints faintly, corroded by years of acid rain. "
NecroTechLab,outside,first,"Overgrown vines creep up the sides of the facility, their tendrils invading cracks in the structure. "
NecroTechLab,outside,first,The once-imposing structure looms like a skeletal reminder of technological ambition. 
NecroTechLab,outside,first,A faded logo barely visible on the front entrance hints at the lab's corporate origins. 
NecroTechLab,outside,first,"The compound is surrounded by a broken chain-link fence, with rusted warning signs flapping in the wind. "
NecroTechLab,outside,first,"The building looms against the skyline, its sharp angles cutting a menacing silhouette."
NecroTechLab,outside,second,"Broken security cameras dangle uselessly from their mounts, their wires swinging in the breeze."
